iter	Logloss
0	0.3252093924
1	0.1224334123
2	0.05037924597
3	0.02946327618
4	0.02075778712
5	0.01621895465
6	0.01409819092
7	0.01201466634
8	0.01123362286
9	0.01007724027
10	0.009389835874
11	0.009011009009
12	0.008319874877
13	0.007728566926
14	0.006925857621
15	0.006239835469
16	0.005888568114
17	0.005443077672
18	0.005345601021
19	0.005058078579
20	0.004337695635
21	0.003932782266
22	0.00368315489
23	0.003327768735
24	0.003136826444
25	0.003014214325
26	0.002928483251
27	0.002756307917
28	0.002709532507
29	0.002634234869
30	0.002521324715
31	0.002422403985
32	0.002320070391
33	0.002254069291
34	0.00216792739
35	0.002110289142
36	0.002087302448
37	0.001988869771
38	0.001809364123
39	0.001708868476
40	0.001678329805
41	0.001653332326
42	0.001520184482
43	0.001452621264
44	0.001435855637
45	0.001426896035
46	0.001405799397
47	0.001329302904
48	0.001303518621
49	0.001251979966
50	0.00121134362
51	0.001178563231
52	0.001154097622
53	0.001141772999
54	0.001137321094
55	0.001111278774
56	0.00107789931
57	0.001025259648
58	0.0009852662093
59	0.0009817397945
60	0.0009207230234
61	0.0009114160816
62	0.0009042197253
63	0.0008956991523
64	0.0008921230091
65	0.0008789512057
66	0.0008548834921
67	0.0008252677491
68	0.0008135424975
69	0.0008057383666
70	0.0008022477518
71	0.0007908721824
72	0.0007655653856
73	0.0007484895365
74	0.0007459984291
75	0.0007351022936
76	0.000729081118
77	0.0007268570085
78	0.0007254808563
79	0.0007030572737
80	0.0006892073903
81	0.0006841974654
82	0.0006797003364
83	0.0006761610856
84	0.0006725059598
85	0.0006560259717
86	0.0006524548328
87	0.0006487388065
88	0.0006410156696
89	0.0006395854035
90	0.0006305400126
91	0.000619919804
92	0.0006108855226
93	0.0006046927234
94	0.0005983576827
95	0.0005925086805
96	0.0005909324573
97	0.0005835427886
98	0.0005821652856
99	0.0005743790554
100	0.0005681672426
101	0.0005626179459
102	0.0005544546672
103	0.0005516183889
104	0.0005439138177
105	0.000535995813
106	0.0005263419432
107	0.0005137055476
108	0.0005125921433
109	0.0005096697815
110	0.0005055403035
111	0.0005001733465
112	0.0004991978379
113	0.0004981970466
114	0.0004877331738
115	0.0004743623493
116	0.0004696719744
117	0.0004687872355
118	0.0004586210894
119	0.0004545712953
120	0.0004539195817
121	0.0004467985825
122	0.0004460088503
123	0.0004426338175
124	0.000442022449
125	0.0004379259188
126	0.0004370187782
127	0.0004320089686
128	0.000428799423
129	0.0004233206309
130	0.0004226764566
131	0.0004192084974
132	0.000408594522
133	0.0004034786862
134	0.0003935393717
135	0.0003878650814
136	0.0003785393842
137	0.0003725632216
138	0.0003696851763
139	0.0003623443777
140	0.0003568114396
141	0.0003528636208
142	0.0003504249622
143	0.000350022403
144	0.0003472589117
145	0.0003437517044
146	0.0003376557157
147	0.0003346191703
148	0.0003327031667
149	0.0003299469978
150	0.0003296119883
151	0.0003273524279
152	0.000325809319
153	0.0003213805459
154	0.0003203070006
155	0.0003125703145
156	0.00030932726
157	0.0003050743492
158	0.0003032216029
159	0.0003027572786
160	0.0002979598365
161	0.000295503518
162	0.0002938943351
163	0.0002908477388
164	0.0002888717985
165	0.000286349726
166	0.0002837815075
167	0.0002834067492
168	0.0002834060461
169	0.0002830445899
170	0.0002793721898
171	0.0002780722631
172	0.0002754338029
173	0.0002738610956
174	0.0002715599796
175	0.000270817007
176	0.000268744571
177	0.0002681125289
178	0.000265456239
179	0.0002626195735
180	0.000258846479
181	0.0002524464348
182	0.0002483838126
183	0.0002462342941
184	0.0002450268912
185	0.0002443675576
186	0.0002437099514
187	0.0002408322359
188	0.0002408300632
189	0.0002398448508
190	0.0002369591142
191	0.0002358078418
192	0.0002353855801
193	0.0002351347184
194	0.0002336583583
195	0.0002291187387
196	0.0002286341478
197	0.0002283552091
198	0.0002268493041
199	0.0002258747245
200	0.0002242383158
201	0.0002216671316
202	0.0002194380808
203	0.0002180293436
204	0.0002162132109
205	0.0002153473288
206	0.0002142707185
207	0.0002140308212
208	0.0002115372898
209	0.0002097639597
210	0.0002071998151
211	0.0002058047038
