sno,latitude,longitude,day_of_year,seconds_of_day,hour,weekday,usage_ratio,is_near_mrt,is_near_park,is_near_school,district_中山區,district_中正區,district_信義區,district_內湖區,district_北投區,district_南港區,district_士林區,district_大同區,district_大安區,district_文山區,district_松山區,district_臺大公館校區,district_萬華區,weekday_sin,weekday_cos,hour_sin,hour_cos,total_0_30,total_30_60,total_60_plus,rent_0_30,rent_30_60,rent_60_plus,return_0_30,return_30_60,return_60_plus,total_bikes,rent_bikes,return_bikes,prediction_error,residual,standardized_error,is_high_error,residual_sign
500101001,25.02605,121.5436,130,2956,0,5,0.0357142857142857,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,1,0,0,1,0,0,1,0,0,15,15,15,6.871441988778986,5.493358633776091,-0.4447459992976964,0,over
500101001,25.02605,121.5436,130,2956,0,5,0.0357142857142857,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,1,0,0,1,0,0,1,0,0,15,15,15,6.871441988778986,5.493358633776091,-0.4447459992976964,0,over
500101001,25.02605,121.5436,130,2956,0,5,0.0357142857142857,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,1,0,0,1,0,0,1,0,0,15,15,15,6.871441988778986,5.493358633776091,-0.4447459992976964,0,over
500101001,25.02605,121.5436,130,2956,0,5,0.0357142857142857,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,1,0,0,1,0,0,1,0,0,15,15,15,6.871441988778986,5.493358633776091,-0.4447459992976964,0,over
500101002,25.02565,121.54357,130,17463,4,5,0.1904761904761904,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,1,0,0,15,15,15,6.871441988778986,5.493358633776091,-0.4447459992976964,0,over
500101002,25.02565,121.54357,130,17463,4,5,0.1904761904761904,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,1,0,0,15,15,15,6.871441988778986,5.493358633776091,-0.4447459992976964,0,over
500101002,25.02565,121.54357,130,17463,4,5,0.1904761904761904,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,1,0,0,15,15,15,6.871441988778986,5.493358633776091,-0.4447459992976964,0,over
500101002,25.02565,121.54357,130,17463,4,5,0.1904761904761904,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,1,0,0,15,15,15,6.871441988778986,5.493358633776091,-0.4447459992976964,0,over
500101003,25.02429,121.54124,130,18302,5,5,0.8571428571428571,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,1,0,0,1,0,0,1,0,0,15,15,15,6.871441988778986,5.493358633776091,-0.4447459992976964,0,over
500101003,25.02429,121.54124,130,18302,5,5,0.8571428571428571,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,1,0,0,1,0,0,1,0,0,15,15,15,6.871441988778986,5.493358633776091,-0.4447459992976964,0,over
